CATEGORY,YEAR,Neighbourhood,ADDRESS,QUADRANT,Ward,LATITUDE,LONGITUDE,LOCATION,,,,Value
General,2015,York,13803  -  63 STREET,NE,4,53.60062642,-113.438413,"(53.6006264203129, -113.43841299935)",,,,1
General,2015,Caernarvon,14603  -  115 STREET,NW,2,53.60789457,-113.5198875,"(53.6078945725907, -113.519887542901)",,,,1
General,2015,Caernarvon,14612  -  115 STREET,NW,2,53.6082954,-113.5206449,"(53.6082953962896, -113.520644859238)",,,,1
General,2015,Caernarvon,14715  -  115 STREET,NW,2,53.60919905,-113.5199431,"(53.6091990546485, -113.519943144121)",,,,1
General,2015,Caernarvon,14719  -  115 STREET,NW,2,53.60939088,-113.5199432,"(53.6093908769581, -113.519943204834)",,,,1
General,2015,Caernarvon,14720  -  115 STREET,NW,2,53.60939074,-113.5206454,"(53.6093907350763, -113.520645388764)",,,,1
General,2015,Caernarvon,14520  -  116 STREET,NW,2,53.60811882,-113.521911,"(53.6081188197841, -113.521910993815)",,,,1
General,2015,Caernarvon,14724  -  116 STREET,NW,2,53.60970834,-113.5219855,"(53.6097083372759, -113.521985529617)",,,,1
General,2015,Caernarvon,15107  -  116 STREET,NW,2,53.61156576,-113.5212317,"(53.6115657557733, -113.521231673207)",,,,1
General,2015,Caernarvon,15111  -  116 STREET,NW,2,53.61171628,-113.5212229,"(53.6117162795868, -113.521222943861)",,,,1
General,2015,Caernarvon,15232  -  116 STREET,NW,2,53.61336562,-113.5218751,"(53.6133656242447, -113.521875116223)",,,,1
General,2015,Caernarvon,14504  -  117 STREET,NW,2,53.60768436,-113.5232047,"(53.6076843632394, -113.523204651164)",,,,1
General,2015,Caernarvon,15211  -  117 STREET,NW,2,53.6126931,-113.5226957,"(53.6126930973389, -113.522695732029)",,,,1
General,2015,Caernarvon,15232  -  117 STREET,NW,2,53.61363246,-113.5229231,"(53.6136324637404, -113.522923070181)",,,,1
General,2015,Caernarvon,14615  -  117A STREET,NW,2,53.60873429,-113.5237416,"(53.6087342934294, -113.523741600273)",,,,1
General,2015,Caernarvon,14616  -  117A STREET,NW,2,53.60874024,-113.5244323,"(53.6087402388578, -113.52443226661)",,,,1
General,2015,Caernarvon,14712  -  117A STREET,NW,2,53.60934281,-113.5244326,"(53.6093428078256, -113.524432613271)",,,,1
General,2015,Caernarvon,15220  -  118 STREET,NW,2,53.61385772,-113.5257921,"(53.6138577207512, -113.525792118581)",,,,1
