Year,LocationID,House #,Street,Avenue,Latitude,Longitude,Measurement,Location 1
2002,3,9719,,117 Avenue,55.18582,-118.786037,59.2,"(55.185820, -118.786037)"
2002,11,9824,,83 Avenue,55.155745,-118.790264,57.2,"(55.155745, -118.790264)"
2002,12,9559,,85 Avenue,55.156499,-118.78266,54.7,"(55.156499, -118.782660)"
2002,18,7310,99A Street,,55.146731,-118.793009,56.7,"(55.146731, -118.793009)"
2002,22,7923,94 Street,,55.152821,-118.77624,54.1,"(55.152821, -118.776240)"
2002,23,7031,93 Street,,55.145729,-118.771397,48.8,"(55.145729, -118.771397)"
2002,24,6345,93 Street,,55.138481,-118.769781,54.8,"(55.138481, -118.769781)"
2002,28,9901,,69 Avenue,55.142092,-118.788694,51.5,"(55.142092, -118.788694)"
2002,31,9437,,69 Avenue,55.142176,-118.778774,54.8,"(55.142176, -118.778774)"
2003,28,9901,,69 Avenue,55.142092,-118.788694,53.6,"(55.142092, -118.788694)"
2003,31,9437,,69 Avenue,55.142176,-118.778774,55.4,"(55.142176, -118.778774)"
2003,36,6716,90A Street,,55.140879,-118.763853,60.2,"(55.140879, -118.763853)"
2003,56,9025,,101 Avenue,55.171131,-118.763695,54.2,"(55.171131, -118.763695)"
2004,3,9719,,117 Avenue,55.18582,-118.786037,59.7,"(55.185820, -118.786037)"
2004,8,9804,,104 Avenue,55.174602,-118.788698,65.5,"(55.174602, -118.788698)"
2004,11,9824,,83 Avenue,55.155745,-118.790264,55.8,"(55.155745, -118.790264)"
2004,12,9559,,85 Avenue,55.156499,-118.78266,56.6,"(55.156499, -118.782660)"
2004,16,7922,99A Street,,55.151716,-118.793878,59.3,"(55.151716, -118.793878)"
2004,19,7214,99A Street,,55.146096,-118.792139,54.2,"(55.146096, -118.792139)"
2004,24,6345,93 Street,,55.138481,-118.769781,48.8,"(55.138481, -118.769781)"
2004,28,9901,,69 Avenue,55.142092,-118.788694,54.6,"(55.142092, -118.788694)"
2004,31,9437,,69 Avenue,55.142176,-118.778774,56.7,"(55.142176, -118.778774)"
2004,33,9318,,67 Avenue,55.14117,-118.771337,56.1,"(55.141170, -118.771337)"
2004,36,6716,90A Street,,55.140879,-118.763853,62.1,"(55.140879, -118.763853)"
2004,39,25,Pinnacle Key,,55.147484,-118.821698,54.1,"(55.147484, -118.821698)"
2004,40,7406,107A Street,,55.147471,-118.819065,59.3,"(55.147471, -118.819065)"
2004,56,9025,,101 Avenue,55.171131,-118.763695,53.4,"(55.171131, -118.763695)"
2005,1,10122,,115 Avenue,55.184565,-118.7991,54.9,"(55.184565, -118.799100)"
2005,3,9719,,117 Avenue,55.18582,-118.786037,58.3,"(55.185820, -118.786037)"
2005,7,9805,,111 Avenue,55.179907,-118.789458,58.3,"(55.179907, -118.789458)"
2005,11,9824,,83 Avenue,55.155745,-118.790264,54,"(55.155745, -118.790264)"
2005,12,9559,,85 Avenue,55.156499,-118.78266,58,"(55.156499, -118.782660)"
2005,15,8202,99A Street,,55.154911,-118.793855,62.1,"(55.154911, -118.793855)"
2005,19,7214,99A Street,,55.146096,-118.792139,52.3,"(55.146096, -118.792139)"
2005,28,9901,,69 Avenue,55.142092,-118.788694,56.5,"(55.142092, -118.788694)"
2005,33,9318,,67 Avenue,55.14117,-118.771337,54.9,"(55.141170, -118.771337)"
2005,36,6716,90A Street,,55.140879,-118.763853,61.6,"(55.140879, -118.763853)"
2005,39,25,Pinnacle Key,,55.147484,-118.821698,57.8,"(55.147484, -118.821698)"
2005,40,7406,107A Street,,55.147471,-118.819065,57.5,"(55.147471, -118.819065)"
2005,43,9449,92A Street,,55.166302,-118.770072,55,"(55.166302, -118.770072)"
2005,56,9025,,101 Avenue,55.171131,-118.763695,54.2,"(55.171131, -118.763695)"
2007,4,9401,,117 Avenue,55.18582,-118.777876,57.8,"(55.185820, -118.777876)"
2007,10,10015,,85 Avenue,55.156499,-118.796498,62,"(55.156499, -118.796498)"
2007,11,9824,,83 Avenue,55.155745,-118.790264,56,"(55.155745, -118.790264)"
2007,17,7612,99A Street,,55.149686,-118.793874,57.2,"(55.149686, -118.793874)"
2007,21,8219,94 Street,,55.15547,-118.778019,60,"(55.155470, -118.778019)"
2007,26,10954,,67 Avenue,55.141194,-118.824826,48.8,"(55.141194, -118.824826)"
2007,32,6902,Poplar Dr,,55.142015,-118.77576,57,"(55.142015, -118.775760)"
2007,34,9304,,67 Avenue,55.141117,-118.77028,56.9,"(55.141117, -118.770280)"
2007,39,25,Pinnacle Key,,55.147484,-118.821698,53.6,"(55.147484, -118.821698)"
2007,41,9204,,108 Avenue,55.178182,-118.769701,54.5,"(55.178182, -118.769701)"
2007,42,9609,92A Street,,55.1672,-118.771802,56.3,"(55.167200, -118.771802)"
2007,48,11314,101B Street,,55.182957,-118.800378,48.5,"(55.182957, -118.800378)"
2007,55,13107,93 Street,,55.19908,-118.772192,57.3,"(55.199080, -118.772192)"
2008,5,9121,,117 Avenue,55.185842,-118.766513,51.4,"(55.185842, -118.766513)"
2008,10,10015,,85 Avenue,55.156499,-118.796498,61.5,"(55.156499, -118.796498)"
2008,15,8202,99A Street,,55.154911,-118.793855,61.6,"(55.154911, -118.793855)"
2008,18,7310,99A Street,,55.146731,-118.793009,50.8,"(55.146731, -118.793009)"
2008,33,9318,,67 Avenue,55.14117,-118.771337,54.2,"(55.141170, -118.771337)"
2008,36,6716,90A Street,,55.140879,-118.763853,62.1,"(55.140879, -118.763853)"
2008,38,8575,69 Avenue,,55.141982,-118.749361,47.9,"(55.141982, -118.749361)"
2008,39,25,Pinnacle Key,,55.147484,-118.821698,55.7,"(55.147484, -118.821698)"
2008,40,7406,107A Street,,55.147471,-118.819065,53.6,"(55.147471, -118.819065)"
2008,48,11314,101B Street,,55.182957,-118.800378,53.6,"(55.182957, -118.800378)"
2008,49,10202,,114A Avenue,55.184251,-118.802604,60.6,"(55.184251, -118.802604)"
2008,56,9025,,101 Avenue,55.171131,-118.763695,55.6,"(55.171131, -118.763695)"
2010,4,9401,,117 Avenue,55.18582,-118.777876,58.4,"(55.185820, -118.777876)"
2010,5,9121,,117 Avenue,55.185842,-118.766513,48.7,"(55.185842, -118.766513)"
2010,36,6716,90A Street,,55.140879,-118.763853,60.5,"(55.140879, -118.763853)"
2010,39,25,Pinnacle Key,,55.147484,-118.821698,56.1,"(55.147484, -118.821698)"
2010,41,9204,,108 Avenue,55.178182,-118.769701,55.2,"(55.178182, -118.769701)"
2010,43,9449,92A Street,,55.166302,-118.770072,58.4,"(55.166302, -118.770072)"
2010,46,7422,91 Street,,55.147256,-118.76415,53.2,"(55.147256, -118.764150)"
2010,48,11314,101B Street,,55.182957,-118.800378,54.5,"(55.182957, -118.800378)"
2010,49,10202,,114A Avenue,55.184251,-118.802604,56.1,"(55.184251, -118.802604)"
2012,8,9804,,104 Avenue,55.174602,-118.788698,57.3,"(55.174602, -118.788698)"
2012,13,9654,,83 Avenue,55.155657,-118.785436,57.4,"(55.155657, -118.785436)"
2012,18,7310,99A Street,,55.146731,-118.793009,59.9,"(55.146731, -118.793009)"
2012,22,7923,94 Street,,55.152821,-118.77624,59.5,"(55.152821, -118.776240)"
2012,26,10954,,67 Avenue,55.141194,-118.824826,63.7,"(55.141194, -118.824826)"
2012,30,9329,,69 Avenue,55.142198,-118.771991,56.5,"(55.142198, -118.771991)"
2012,35,9326,,67 Avenue,55.141102,-118.771831,48.6,"(55.141102, -118.771831)"
2012,37,6713,90A Street,,55.140882,-118.763816,63.5,"(55.140882, -118.763816)"
2012,39,25,Pinnacle Key,,55.147484,-118.821698,50.1,"(55.147484, -118.821698)"
2012,40,7406,107A Street,,55.147471,-118.819065,53,"(55.147471, -118.819065)"
2012,41,9204,,108 Avenue,55.178182,-118.769701,58.7,"(55.178182, -118.769701)"
2012,44,10427,92A Street,,55.17539,-118.769966,57.4,"(55.175390, -118.769966)"
2012,48,11314,101B Street,,55.182957,-118.800378,58.4,"(55.182957, -118.800378)"
2012,49,10202,,114A Avenue,55.184251,-118.802604,53.4,"(55.184251, -118.802604)"
2012,51,,116 Street,Pinnacle Drive,55.144214,-118.846117,58.4,"(55.144214, -118.846117)"
2012,56,9025,,101 Avenue,55.171131,-118.763695,52.4,"(55.171131, -118.763695)"
2014,2,9201,,115 Avenue,55.184544,-118.769601,60,"(55.184544, -118.769601)"
2014,6,9509,,117 Avenue,55.185873,-118.779994,55,"(55.185873, -118.779994)"
2014,9,9808,,104 Avenue,55.174592,-118.789175,60,"(55.174592, -118.789175)"
2014,14,8320,114A Street,,55.15539,-118.842328,61,"(55.155390, -118.842328)"
2014,20,8410,100 Street,,55.156775,-118.795405,54,"(55.156775, -118.795405)"
2014,25,9402,,83 Avenue,55.155692,-118.778172,59,"(55.155692, -118.778172)"
2014,27,11030,,67 Avenue,55.141076,-118.827176,51,"(55.141076, -118.827176)"
2014,29,9925,,69 Avenue,55.142111,-118.790245,58,"(55.142111, -118.790245)"
2014,36,6716,90A Street,,55.140879,-118.763853,58,"(55.140879, -118.763853)"
2014,45,10901,92A Street,,55.178863,-118.770262,58,"(55.178863, -118.770262)"
2014,47,7118,90 Street,,55.145065,-118.762518,56,"(55.145065, -118.762518)"
2014,50,10209,,114A Avenue,55.184038,-118.802388,52,"(55.184038, -118.802388)"
2014,52,6934,115B Street,,55.143039,-118.842359,56,"(55.143039, -118.842359)"
2014,53,9029,,101 Avenue,55.171135,-118.764344,56,"(55.171135, -118.764344)"
2014,54,9338,,131 Avenue,55.19929,-118.774716,58,"(55.199290, -118.774716)"
