TAX_YEAR,ROLL_NUM,ADDRESS,YEAR_BUILT,ASSESSCLAS,BLDG_DESC,BLDG_METRE,BLDG_FEET,GARAGE,FIREPLACE,BASEMENT,BSMTDEVL,ASSESSMENT,LATITUDE,LONGITUDE
2015,1032301002,,1940,Exempt / Farmland / Residential,1 1/2 Storey & Basement,199,2143,Y,Y,Y,N,290000,53.44695337,-112.9145324
2015,1022705006,,1950,Residential,1 Storey & Basement,83,895,Y,Y,Y,Y,402000,53.41067882,-112.876451
2015,1017328004,229 51268 RNG RD 204,1983,Residential,1 Storey & Basement,77,831,N,Y,Y,N,292000,53.40588073,-112.9195892
2015,1034103000,,1981,Residential,Split Entry,161,1731,N,Y,Y,Y,518000,53.44726915,-112.8631182
2015,1017329002,231 51268 RNG RD 204,1967,Residential,1 Storey Basementless,56,600,Y,Y,N,N,197000,53.40573707,-112.9196635
2015,1017330000,233 51268 RNG RD 204,1968,Residential,1 1/2 Sty. Slab on Grade,52,560,N,Y,N,N,181000,53.40559343,-112.9197378
2015,1015300005,,1974,Exempt / Farmland / Residential,1 Storey & Basement,204,2195,Y,Y,Y,Y,463000,53.41067757,-112.8772015
2015,1017319003,205 51268 RNG RD 204,1962,Residential,1 1/2 Storey & Basement,95,1021,Y,Y,N,N,302000,53.40744222,-112.9194179
2015,1017322007,211 51268 RNG RD 204,1967,Residential,1 Storey Basementless,64,690,N,Y,N,N,245000,53.40702761,-112.9198835
2015,1017327006,227 51268 RNG RD 204,1983,Residential,2 Storey & Basement,170,1832,Y,Y,Y,Y,323000,53.40599983,-112.9195276
2015,1017331008,235 51268 RNG RD 204,1965,Residential,1 Storey & Basement,101,1086,N,Y,Y,Y,272000,53.40546806,-112.9198027
2015,1017339001,253 51268 RNG RD 204,1969,Residential,Manufactured Home,77,832,N,N,N,N,153000,53.40402746,-112.9214483
2015,1017304005,171 51268 RNG RD 204,1993,Residential,2 Storey & Basement,164,1760,Y,Y,Y,Y,532000,53.40870558,-112.91472
2015,1017340009,255 51268 RNG RD 204,1964,Residential,1 Storey Basementless,77,826,Y,Y,N,N,184000,53.40402746,-112.9214483
2015,1017341007,257 51268 RNG RD 204,1972,Residential,Split Entry,54,576,N,Y,Y,Y,222000,53.40415874,-112.9216715
2015,1017334002,241 51268 RNG RD 204,1962,Residential,1 Storey Basementless,45,481,N,Y,N,N,168000,53.40526488,-112.9201615
2015,1017335009,243 51268 RNG RD 204,1968,Residential,A-Frame Basementless,117,1256,Y,Y,N,N,202000,53.40503924,-112.9205599
2015,1017336007,245 51268 RNG RD 204,2005,Residential,2 Storey & Basement,185,1992,Y,N,Y,Y,545000,53.40492642,-112.9207592
2015,1017337005,247 51268 RNG RD 204,1965,Residential,1 Storey Basementless,58,624,N,Y,N,N,198000,53.4048136,-112.9209584
2015,1017337005,249 51268 RNG RD 204,1965,Residential,1 Storey Basementless,58,624,N,Y,N,N,198000,53.40470077,-112.9211577
2015,1017332006,237 51268 RNG RD 204,1984,Residential,1 Storey Basementless,80,864,Y,Y,N,N,263000,53.40536831,-112.9199789
2015,1017346006,267 51268 RNG RD 204,1995,Residential,2 Storey & Basement,201,2167,Y,Y,Y,N,527000,53.40418745,-112.9227885
2015,1017333004,239 51268 RNG RD 204,1967,Residential,A-Frame Basementless,63,680,Y,Y,N,N,181000,53.40526488,-112.9201615
2015,1017349000,273 51268 RNG RD 204,2012,Residential,1 Storey Basementless,128,1374,N,Y,N,N,310000,53.4037032,-112.9220393
2015,1017348002,271 51268 RNG RD 204,1992,Residential,1 Storey & Basement,120,1287,N,N,Y,Y,364000,53.4037032,-112.9220393
