TOTSPACE,LONGITUDE,LATITUDE
84,-79.23360753,43.83057174
52,-79.28015374,43.8266729
41,-79.27896539,43.82604504
28,-79.27894753,43.82539768
63,-79.29720245,43.8249818
116,-79.28980646,43.8249778
84,-79.27742207,43.82246261
54,-79.27033467,43.82182011
54,-79.28830635,43.81935698
45,-79.30263787,43.81858971
35,-79.30495951,43.81823512
77,-79.20655089,43.81798752
65,-79.30483381,43.81749684
56,-79.28850017,43.81659516
82,-79.20344614,43.81599538
20,-79.31868953,43.81590797
49,-79.30394329,43.81576204
76,-79.32831944,43.8136517
49,-79.34362803,43.81345681
34,-79.29375797,43.81285164
31,-79.22673067,43.81271225
26,-79.26566174,43.8126755
38,-79.27509724,43.81212792
56,-79.27409287,43.8117085
57,-79.21483296,43.80966742
74,-79.35571268,43.809495
138,-79.29034654,43.80930265
88,-79.31788929,43.80920532
47,-79.26548416,43.80880873
26,-79.18971556,43.80858584
60,-79.27106846,43.80815428
82,-79.21940399,43.80795938
138,-79.28845082,43.8074061
100,-79.32744519,43.80665932
216,-79.36007184,43.8063007
66,-79.30224962,43.805367
107,-79.33977045,43.80529906
67,-79.26409148,43.80475864
89,-79.34404699,43.80446061
38,-79.2654165,43.80358711
79,-79.30938716,43.80344126
50,-79.3856361,43.8026747
79,-79.22135576,43.80157071
52,-79.30134517,43.8006237
44,-79.15046,43.80018512
48,-79.2779255,43.79962686
81,-79.35072975,43.7994162
123,-79.15129056,43.79939488
41,-79.32894348,43.79896671
49,-79.35808222,43.79893404
26,-79.32307086,43.79866171
82,-79.33109533,43.7985877
66,-79.4104048,43.79848681
20,-79.41040176,43.79782998
132,-79.13741904,43.79780432
95,-79.36436071,43.79757335
31,-79.30936975,43.7973881
103,-79.20936891,43.79692541
52,-79.34899088,43.79578942
119,-79.37472553,43.7957696
49,-79.29416955,43.79566877
40,-79.16406818,43.79551101
63,-79.42619692,43.79550519
118,-79.23634457,43.79501064
20,-79.30026556,43.79442852
55,-79.32479345,43.79405227
46,-79.17927321,43.79319654
87,-79.17571109,43.79310442
32,-79.3578377,43.79272821
113,-79.38746557,43.79232805
59,-79.43132515,43.79220929
78,-79.23888526,43.79192308
90,-79.35030022,43.79087903
90,-79.35613218,43.7907822
24,-79.30302706,43.79076904
64,-79.23837554,43.79069585
133,-79.43468418,43.78993827
80,-79.35335147,43.78988285
24,-79.24670903,43.78895985
26,-79.31859031,43.78892496
49,-79.35219115,43.78865896
30,-79.35984984,43.78844079
34,-79.44758922,43.78782263
33,-79.41497101,43.78715275
62,-79.15205063,43.78702273
66,-79.39182945,43.78690615
40,-79.27870739,43.78645189
56,-79.35370651,43.78640442
140,-79.4523043,43.78623395
46,-79.33805482,43.78582832
54,-79.18814514,43.78566054
46,-79.22702962,43.78527327
25,-79.30357451,43.78513847
30,-79.35945887,43.78489883
80,-79.26610875,43.78447577
37,-79.23147804,43.78436307
24,-79.17138274,43.78423037
89,-79.25654252,43.7839379
109,-79.39497745,43.78384169
42,-79.42651373,43.78349398
83,-79.44609237,43.78331677
16,-79.47125864,43.78319008
81,-79.29957063,43.78293933
20,-79.14925372,43.78255557
30,-79.33180984,43.78172813
64,-79.33180984,43.78172813
49,-79.2035789,43.78164671
70,-79.39063008,43.78161567
41,-79.46849697,43.78125928
26,-79.30084246,43.78124037
82,-79.30309947,43.78121636
81,-79.35749461,43.78084349
80,-79.31509861,43.78080488
34,-79.23056737,43.78070605
143,-79.22964267,43.78054307
59,-79.41598771,43.78000149
60,-79.14029125,43.77966459
20,-79.29232137,43.77941614
37,-79.3792651,43.77939797
73,-79.29758125,43.77936841
35,-79.39106535,43.77874469
54,-79.3501563,43.77845166
46,-79.28070085,43.77772513
76,-79.15700816,43.7774619
34,-79.32176695,43.77731232
123,-79.35475859,43.77713673
81,-79.41670444,43.77706087
39,-79.31601267,43.77650499
131,-79.30071954,43.77647762
171,-79.17293561,43.77580288
40,-79.40982546,43.77579691
24,-79.18372824,43.77529915
82,-79.18071134,43.77519651
56,-79.35136574,43.77516177
56,-79.40976628,43.77493797
51,-79.18343745,43.77485983
64,-79.25437452,43.77460663
35,-79.44632478,43.77442921
76,-79.43759188,43.77441543
94,-79.23157073,43.77437348
73,-79.30828951,43.77435087
78,-79.36796814,43.77433603
49,-79.33838433,43.77433049
182,-79.41105951,43.77411646
148,-79.41461266,43.77410091
45,-79.35109268,43.77363807
31,-79.52332414,43.77356355
25,-79.50233817,43.77341009
55,-79.32785296,43.77272465
99,-79.43556969,43.77258221
80,-79.34389437,43.77253732
36,-79.18793863,43.77216292
41,-79.28426378,43.77170066
42,-79.4431816,43.77160152
119,-79.50147209,43.771425
53,-79.28955704,43.77130892
128,-79.38006568,43.771224
54,-79.52681069,43.77116395
56,-79.3430668,43.77104273
46,-79.45390216,43.77091689
162,-79.42703943,43.7707622
105,-79.39183238,43.77052711
187,-79.35168529,43.7703919
114,-79.41433357,43.77007451
98,-79.33053624,43.77002442
90,-79.52277148,43.76976124
72,-79.39134463,43.7693665
117,-79.26415504,43.76903852
149,-79.22946342,43.76900728
50,-79.51738796,43.76879955
72,-79.28256733,43.76853117
56,-79.16503401,43.76851356
109,-79.46071958,43.7685104
30,-79.4586335,43.76745385
57,-79.51607055,43.76717478
52,-79.18682499,43.76713719
65,-79.19884758,43.76673158
62,-79.40041986,43.76665875
142,-79.19506272,43.76621021
79,-79.38677929,43.76588284
88,-79.20544822,43.76521124
98,-79.48316222,43.76498528
61,-79.28701195,43.76493593
20,-79.23511246,43.76493366
86,-79.32177641,43.76473268
236,-79.3291298,43.76458912
79,-79.40166549,43.76387147
82,-79.21697343,43.76366692
52,-79.2079803,43.76313647
59,-79.33794868,43.76283883
141,-79.44166888,43.76283184
34,-79.31932759,43.76282355
87,-79.49944865,43.76257121
33,-79.2104931,43.76249103
90,-79.37035732,43.76245943
73,-79.45787152,43.76244263
36,-79.19364974,43.76234889
184,-79.35145637,43.76222852
56,-79.19505714,43.76219949
119,-79.5199372,43.76214401
39,-79.30819194,43.76211739
82,-79.41044807,43.76201045
61,-79.32271638,43.7619774
56,-79.34038151,43.7616437
55,-79.45412317,43.76065777
26,-79.50255431,43.75991688
85,-79.33501531,43.75965862
137,-79.51600951,43.75910845
46,-79.19133848,43.75907127
16,-79.19133848,43.75907127
49,-79.49134154,43.75871247
97,-79.49371346,43.75869853
15,-79.42293174,43.75867912
39,-79.5712193,43.75865407
36,-79.42310055,43.7586
40,-79.51668093,43.75854019
46,-79.22343125,43.75836953
39,-79.19734166,43.75799121
145,-79.51191572,43.75789471
47,-79.23336139,43.75768999
123,-79.24055993,43.75748239
45,-79.19334169,43.75743706
15,-79.37731186,43.75737707
82,-79.26236832,43.75698692
36,-79.23966343,43.75633573
36,-79.32146443,43.75605933
280,-79.35846062,43.75583754
98,-79.51066144,43.75569326
31,-79.49700244,43.7556022
59,-79.24852584,43.75560029
146,-79.45892375,43.75474293
105,-79.30791479,43.75467972
139,-79.42125481,43.7543693
108,-79.5191278,43.75414151
50,-79.41340933,43.75396042
59,-79.56675302,43.75371657
54,-79.18748212,43.75366906
56,-79.50282777,43.75366289
47,-79.43822834,43.75289099
49,-79.51697635,43.75258379
114,-79.32329466,43.7524666
32,-79.4072315,43.75244208
44,-79.51991415,43.75200949
79,-79.20334136,43.75149073
49,-79.49320837,43.75106442
72,-79.19998986,43.75082968
165,-79.33762355,43.75082148
109,-79.51388475,43.75065984
105,-79.26384288,43.75063633
100,-79.5440321,43.75062129
49,-79.47021961,43.75045708
